state,orig_label,map_sym1,map_sym2,unit_link,prov_no,province,unit_name,unit_age,unitdesc,strat_unit,unit_com,map_ref,rocktype1,rocktype2,rocktype3,unit_ref,map_symb2
PA  ,Obv,Obv,Obv;15,PAObv;15,15,Central Pennsylvania,Valentine Member of Benner Formation,Ordovician,Valentine Member of Benner Formation - Chemically pure limestone; occurs at top of Benner Formation.,,,PA002,limestone,,,PA001 PA002,
PA  ,Tbm,Tbm,Tbm;0,PATbm;0,0,,Bryn Mawr Formation,Tertiary,Bryn Mawr Formation - High-level terrace deposits; reddish-brown gravelly sand and some silt. Age uncertain.,,,PA002,gravel,sand,silt,PA001 PA002,
PA  ,PPw,PPAw,PPAw;0,PAPPAw;0,0,,Waynesburg Formation,Permian and Pennsylvanian,"Waynesburg Formation - Cyclic sequences of sandstone, shale, limestone, and coal; commercial coals present; base is at bottom of Waynesburg coal.",,,PA002,sandstone,shale,limestone; coal,PA001 PA002,
PA  ,Ce,CAe,CAe;24,PACAe;24,24,"Great Valley and South Mountain, Cumberland Valley Sequence",Elbrook Formation,Cambrian,"Elbrook Formation - Light-colored calcareous shale and silty limestone at top; medium-gray limestone and dolomite in middle; pure, dark limestone at base.",,,PA002,limestone,dolostone (dolomite),shale,PA001 PA002,
PA  ,Dcw,Dcw,Dcw;18,PADcw;18,18,"Central and Eastern Pennsylvania, Eastern Pennsylvania",Walcksville Member of Catskill Formation,Devonian,Walcksville Member of Catskill Formation - Greenish-gray sandstone and red siltstone and mudstone in fining-upward cycles.,,,PA002,sandstone,siltstone,mudstone,PA001 PA002,
PA  ,Sb,Sb,Sb;14,PASb;14,14,Eastern Pennsylvania,Bloomsburg Formation,Silurian,"Bloomsburg Formation - Grayish-red siltstone, shale, and sandstone arranged in fining-upward cycles.",,,PA002,siltstone,shale,sandstone,PA001 PA002,
PA  ,Dcsc,Dcsc,Dcsc;17,PADcsc;17,17,"Central and Eastern Pennsylvania, Susquehanna Valley",Sherman Creek Member of Catskill Formation,Devonian,"Sherman Creek Member of Catskill Formation - Alternating grayish-red mudstone and siltstone in poorly defined fining-upward cycles, and minor intervals of gray sandstone; laterally equivalent to Berry Run, Sawmill Run, Packerton, and Long Run Members of eastern Pennsylvania.",,,PA002,mudstone,siltstone,sandstone,PA001 PA002,
PA  ,Dcr,Dcr,Dcr;8,PADcr;8,8,Western Pennsylvania,"Corry Sandstone through Riceville Formation, undivided",Devonian,"Corry Sandstone through Riceville Formation, undivided - Same as Berea-through-Riceville (MDbr) interval, but uppermost sandstone unit is recognized as Corry, not Berea.",,Digital map differences from 1980 printed map: age changed from Mississippian and Devonian to Devonian; map symbol changed from MDcr to Dcr.,PA002,sandstone,shale,siltstone,PA001 PA002,
PA  ,Om,Om,Om;22,PAOm;22,22,"Great Valley and Northern Piedmont, Lebanon Valley Sequence",Martinsburg Formation,Ordovician,"Martinsburg Formation - Dark-gray, slaty to phyllitic shale, calcareous at base. Probably only lower part of Martinsburg Formation is present; overlain by Hamburg sequence rocks.",,,PA002,shale,,,PA001 PA002,
PA  ,Om,Om,Om;23,PAOm;23,23,"Great Valley and Northern Piedmont, Lehigh Valley Sequence",Martinsburg Formation,Ordovician,Martinsburg Formation - Gray to dark-gray shale and slate.,,,PA002,shale,slate,,PA001 PA002,
PA  ,Omgs,Omgs,Omgs;20,PAOmgs;20,20,"Great Valley and Northern Piedmont, Cumberland Valley Sequence",Graywacke and shale of Martinsburg Formation,Ordovician,Graywacke and shale of Martinsburg Formation - Abundant impure sandstone (graywacke) interbeds.,,,PA002,graywacke,,,PA001 PA002,
PA  ,Cbs,CAbs,CAbs;22,PACAbs;22,22,"Great Valley and Northern Piedmont, Lebanon Valley Sequence",Buffalo Springs Formation,Cambrian,"Buffalo Springs Formation - Light-gray to pinkish-gray, finely to coarsely crystalline limestone and interbedded dolomite; numerous siliceous and clayey laminae; stromatolitic limestone beds near top; some thin sandy beds.",,,PA002,limestone,dolostone (dolomite),sandstone,PA001 PA002,
PA  ,Ce,CAe,CAe;22,PACAe;22,22,"Great Valley and Northern Piedmont, Lebanon Valley Sequence",Elbrook Formation,Cambrian,"Elbrook Formation - Microcrystalline limestone and, in places, marble; includes subordinate dolomite containing abundant phyllitic layers; occurs in Chester and Montgomery Counties; relation to Elbrook of Cumberland Valley sequence is uncertain.",,,PA002,limestone,dolostone (dolomite),phyllite; marble,PA001 PA002,
PA  ,Ca,CAa,CAa;22,PACAa;22,22,"Great Valley and Northern Piedmont, Lebanon Valley Sequence",Antietam Formation,Cambrian,"Antietam Formation - Gray, buff-weathering quartzite and quartz schist.",,,PA002,quartzite,schist,,PA001 PA002,
PA  ,Cah,CAah,CAah;22,PACAah;22,22,"Great Valley and Northern Piedmont, Lebanon Valley Sequence","Antietam and Harpers Formations, undivided",Cambrian,"Antietam and Harpers Formations, undivided - Includes, in descending order, the Antietam (CAa) and Harpers (CAh) Formations. Antietam Formation - gray, buff-weathering quartzite. Harpers Formation - Dark-greenish-gray phyllite and schist containing thin quartzite layers; includes Montalto Member (CAhm) - gray quartztite",,"Secondary unit description from USGS Geologic Names lexicon (ref. PA003): Antietam sandstone is a fine-grained white sandstone, 250 feet thick, with scolithus and Early Cambrian fossils. Underlies Cambrian limestone and overlies Harper's Ferry shales [Harpers shale]. Named for exposures east of Antietam Creek, in Harpers Ferry quad. [In southeastern PA, the lithologic character of the formation changes and it is there called Antietam quartzite in some areas and Antietam schist in other areas.] The Harpers Formation is predominantly a dark-greenish-gray to brownish-gray, very fine-grained, laminated to massively bedded, phyllitic metasiltstone. The base of the unit is locally sharp, but is transitional with the underlying quartz-pebble conglomeratic quartzite of the upper member of the Weverton Formation. The metasiltstone is highly cleaved and bedding is obscure. Thickness of the Harpers in the mapped area is 732 meters. The Harpers Formation overlies the Weverton Formation and underlies the Antietam Quartzite. The unit is of Early Cambrian age.",PA002,quartzite,schist,phyllite,PA001 PA002 PA003,
PA  ,md,pCAmd,pCAmd;14,PApCAmd;14,14,Eastern Pennsylvania,Metadiabase,Precambrian,"Metadiabase - Dark-gray, fine-grained intrusives; locally, mineralogy is altered and unit has greenish color.",,,PA002,mafic metavolcanic rock,,,PA001 PA002,
PA  ,Cgl,CAgl,CAgl;15,PACAgl;15,15,Central Pennsylvania,"Lower members of Gatesburg Formation, undivided",Cambrian,"Lower members of Gatesburg Formation, undivided - Includes, in descending order: cyclic repetitions of sandstone and dolomite (""upper sandstone'' member); fossiliferous, laminated to massive limestone and dolomite (Ore Hill Member); cyclic repetitions of sandstone and dolomite (''lower sandstone"" member); and thick-bedded crystalline dolomite (Stacy Member).",,,PA002,dolostone (dolomite),sandstone,limestone,PA001 PA002,
PA  ,Cgm,CAgm,CAgm;15,PACAgm;15,15,Central Pennsylvania,Mines Member of Gatesburg Formation,Cambrian,"Mines Member of Gatesburg Formation - Gray dolomite containing siliceous ""oolites"" and chert having cryptozoon stromatolites.",,,PA002,dolostone (dolomite),chert,,PA001 PA002,
PA  ,Ch,CAh,CAh;22,PACAh;22,22,"Great Valley and Northern Piedmont, Lebanon Valley Sequence",Harpers Formation,Cambrian,Harpers Formation - Dark-greenish-gray phyllite and schist containing thin quartzite layers.,,,PA002,phyllite,schist,quartzite,PA001 PA002,
PA  ,Ch,CAh,CAh;24,PACAh;24,24,"Great Valley and South Mountain, Cumberland Valley Sequence",Harpers Formation,Cambrian,Harpers Formation - Dark-greenish-gray phyllite and schist containing thin quartzite layers; includes Montalto Member (CAhm).,,,PA002,phyllite,schist,quartzite,PA001 PA002,
PA  ,Cha,CAha,CAha;23,PACAha;23,23,"Great Valley and Northern Piedmont, Lehigh Valley Sequence",Hardyston Formation,Cambrian,"Hardyston Formation - Typically light-gray, fine- to medium-grained quartzite, and feldspathic sandstone; color ranges from nearly white to dark gray; massive bedded; Scolithus present in upper part; quartz-pebble conglomerate occurs at base.",,"On the paper map, in the map description for this unit, Scolithus is spelled Skolithus.",PA002,quartzite,sandstone,conglomerate,PA001 PA002,
PA  ,Chm,CAhm,CAhm;24,PACAhm;24,24,"Great Valley and South Mountain, Cumberland Valley Sequence",Montalto Member of Harpers Formation,Cambrian,Montalto Member of Harpers Formation - Gray quartzite.,,,PA002,quartzite,,,PA001 PA002,
PA  ,Ck,CAk,CAk;22,PACAk;22,22,"Great Valley and Northern Piedmont, Lebanon Valley Sequence",Kinzers Formation,Cambrian,"Kinzers Formation - Base--dark-brown shale; middle--gray and white spotted limestone and, locally, marble having irregular partings; top--sandy limestone which weathers to a fine-grained, friable, porous, sandy mass.",,"Secondary unit description from USGS Geologic Names lexicon (ref. PA003): All three members of the Kinzers--the Emigsville, the York, and the Greenmount--are assigned to off-shelf environments. The basal Emigsville is a laterally persistent basinal facies with two components. The lower third is argillaceous dolomite and dolomitic limestone, overlain by shale. The York includes well-bedded lime mudstones, oolitic and bioclastic lime grainstones, and minor occurrences of periplatform breccia. [York was called Thomasville Member by Gohn (1976).] The Greenmount Member is a distinctive, impure carbonate (dark, pyritic, laminated to nodular limestone) with abundant fine-grained siliciclastic sediment which occurs as black shaly interbeds and dispersed silt-sized quartz and feldspar grains. Age of the Kinzers is Early Cambrian. Kinzers Formation in the West York block of the Conestoga Valley, York Co., PA, is here subdivided into the basal Emigsville Member (Gohn, 1976), the York Member (new name), and the Greenmount Member (new name). Emigsville is the most laterally persistent. Thickness in the report area is approximately 100 to 200 ft. York Member is well exposed in Pit 1 at the Delta Carbonate Quarry. York previously informally designated Thomasville member by Gohn (1976). Thickness approximately 1000 to 1200 ft. Consists very pure to moderately pure carbonates. Greenmount Member described as sandstone and siltstone with very little carbonate where weathered. May be equivalent to Gohn's (1976) Longs Park member in Lancaster Co. Thickness varies from 50 ft to 180 ft. Authors state, ""The long history of use of the name Kinzers dictates the need for its continued use. The rocks included within the Kinzers Formation, however, vary dramatically from the type locality in Lancaster Co. to the York Valley portion of the Conestoga Valley. The unit thickens from about 200 ft to 1450 ft. . . . There may be some logic, therefore, in assigning group status to the name."" Underlies Ledger Formation. Age of the Kinzer in report area is Early Cambrian. ",PA002,limestone,marble,shale; sand,PA001 PA002 PA003,
PA  ,Clv,CAlv,CAlv;23,PACAlv;23,23,"Great Valley and Northern Piedmont, Lehigh Valley Sequence",Leithsville Formation,Cambrian,"Leithsville Formation - Medium- to dark-gray, crystalline dolomite, light-olive-gray in places, weathering to light gray and yellowish brown; massive bedded; oolitic; pink to gray, mottled chert and dark-gray chert; thin shale and dolomitic shale interbeds; scattered sand grains; upper part is very shaly.",,,PA002,dolostone (dolomite),shale,chert; sand,PA001 PA002,
PA  ,Cms,CAms,CAms;22,PACAms;22,22,"Great Valley and Northern Piedmont, Lebanon Valley Sequence","Millbach and Schaefferstown Formations, undivided",Cambrian,"Millbach and Schaefferstown Formations, undivided - Includes, in descending order, the Millbach Formation (CAm), and the Schaefferstown Formation--gray limestone containing siliceous and argillaceous laminae; thin bedded.",,,PA002,limestone,dolostone (dolomite),shale,PA001 PA002,
PA  ,Cph,CAph,CAph;15,PACAph;15,15,Central Pennsylvania,Pleasant Hill Formation,Cambrian,"Pleasant Hill Formation - Gray, thin-bedded, argillaceous limestone interbedded with shale, siltstone, and sandstone.",,,PA002,limestone,shale,siltstone; sandstone,PA001 PA002,
PA  ,Cr,CAr,CAr;22,PACAr;22,22,"Great Valley and Northern Piedmont, Lebanon Valley Sequence",Richland Formation,Cambrian,"Richland Formation - Gray dolomite, in part oolitic, interbedded with medium-gray limestone and dark-gray oolitic chert.",,,PA002,dolostone (dolomite),limestone,chert,PA001 PA002,
PA  ,Dbr,Dbr,Dbr;8,PADbr;8,8,Western Pennsylvania,"Berea Sandstone through Riceville Formation, undivided",Devonian,"Berea Sandstone through Riceville Formation, undivided - Sandstone, siltstone, and shale; mostly light to dark gray, but some sandstone is greenish yellow, and a few reddish shales occur. Includes, in descending order: Berea Sandstone, Bedford Shale, Cussewago Sandstone, and Riceville Shale; marine fossils common.",,Digital map differences from 1980 printed map: age changed from Mississippian and Devonian to Devonian; map symbol changed from MDbr to Dbr.,PA002,shale,sandstone,siltstone,PA001 PA002,
PA  ,Dcpp,Dcpp,Dcpp;18,PADcpp;18,18,"Central and Eastern Pennsylvania, Eastern Pennsylvania","Poplar Gap and Packerton Members of Catskill Formation, undivided",Devonian,"Poplar Gap and Packerton Members of Catskill Formation, undivided - Includes, in descending order, the Poplar Gap (Dcpg) and Packerton (Dcp) Members of the Catskill Formation. ",,,PA002,sandstone,conglomerate,siltstone,PA001 PA002,
PA  ,Csb,CAsb,CAsb;22,PACAsb;22,22,"Great Valley and Northern Piedmont, Lebanon Valley Sequence","Snitz Creek and Buffalo Springs Formations, undivided",Cambrian,"Snitz Creek and Buffalo Springs Formations, undivided - Includes, in descending order, the Snitz Creek (CAsc) and Buffalo Springs (CAbs) Formations. Snitz Creek Formation - thick-bedded. medium- to coarsely crystalline dolomite; in part oolitic, containing laminated limestone and sandstone interbeds. Buffalo Springs Formation - light-gray to pinkish-gray, finely to coarsely crystalline limestone and interbedded dolomite; numerous siliceous and clayey laminae; stromatolitic limestone beds near top; some thin sandy beds.",,"Secondary unit description from USGS Geologic Names lexicon (ref. PA003): The Snitz Creek Formation of the Conococheague Group consists of light-gray to dark-gray, very finely to finely crystalline dolomite; much of the dolomite is argillaceous, silty, or sandy. Thickness is 300 to 400 feet. Unit occurs is western part of Mount Joy belt. Overlies the Buffalo Springs Formation and underlies the Millbach Formation, both of the Conococheague Group. Named the Buffalo Springs member of the Conococheague formation for Buffalo Springs, Lebanon Co., southeastern PA. Consists of dirty-white or pinkish-gray to medium-gray, crystalline limestone, commonly with laminae, alternating with yellowish-gray to light-olive-gray weathered dolomite and magnesian limestone; dolomite is fine to medium crystalline and commonly light gray on fresh surface; thin sandy limestone or silty limestone beds occur locally. Light-olive-gray weathering shaly limestone interbeds present in many outcrops. The white to pinkish-gray limestones commonly grade laterally into very light-gray limestone. Light-blue-gray limestone common near top of member. Estimated thickness more than 700 feet; base of member not exposed; partial type section is 247 feet thick. Underlies Snitz Creek member; unit is oldest exposed Cambrian limestone in quadrangle. The Buffalo Springs is of Late Cambrian age. ",PA002,limestone,dolostone (dolomite),sandstone,PA001 PA002 PA003,
PA  ,Csc,CAsc,CAsc;22,PACAsc;22,22,"Great Valley and Northern Piedmont, Lebanon Valley Sequence",Snitz Creek Formation,Cambrian,"Snitz Creek Formation - Thick-bedded, medium- to coarsely crystalline dolomite, in part oolitic, containing laminated limestone and sandstone interbeds.",,,PA002,dolostone (dolomite),limestone,sandstone,PA001 PA002,
PA  ,Csg,CAsg,CAsg;24,PACAsg;24,24,"Great Valley and South Mountain, Cumberland Valley Sequence",Shadygrove Formation,Cambrian,"Shadygrove Formation - Pure, light-colored limestone, stromatolitic in part; abundant pinkish limestone and cream-colored chert.",,"Secondary unit description from USGS Geologic Names lexicon (ref. PA003): Named for Shadygrove, Franklin Co., PA. Type section is in a farm field, 0.6 mile south and slightly east of Shadygrove on State Highway 16. Shadygrove used to be the upper part of the Conococheague Formation. This paper raises the Conococheague to group rank and divides it into a lower Zullinger Formation and an upper Shadygrove Formation. Shadygrove is composed of light blue-gray micritic limestone with pinkish cast, light gray weathering micritic algal limestone with muddy gray dolomite laminae and beds, light blue to gray mechanical limestone with grayish buff to yellow-orange seams and laminae of dolomite. Thickness is approximately 650 feet. The contact with the underlying Zullinger is gradational within an interval of thick beds of light colored to pink limestone interbedded with typical limestone and dolomite of Zullinger Formation. Shadygrove underlies the Stoufferstown Formation. Age is considered Late Cambrian based on Trempealeauan trilobites, but it is speculated that the Cambrian-Ordovician boundary may lie as much as 300 feet below the top of the Shadygrove. ",PA002,limestone,chert,,PA001 PA002 PA003,
PA  ,Ct,CAt,CAt;24,PACAt;24,24,"Great Valley and South Mountain, Cumberland Valley Sequence",Tomstown Formation,Cambrian,Tomstown Formation - Massive dolomite containing thin shaly interbeds.,,,PA002,dolostone (dolomite),shale,,PA001 PA002,
PA  ,Cul,CAul,CAul;22,PACAul;22,22,"Great Valley and Northern Piedmont, Lebanon Valley Sequence","Lower (Middle?) Cambrian rocks, undivided",Cambrian,"Lower (Middle?) Cambrian rocks, undivided - Lower Cambrian of Berks County includes tectonic slices of many of the following rock units: Zooks Corner (CAzc), Ledger (CAl), Kinzers (CAk), Vintage (CAv), Antietam (CAa, CAah), and Harpers (CAh, CAah) Formations.",,,PA002,dolostone (dolomite),limestone,shale; quartzite; phyllite; schist; marble,PA001 PA002,
PA  ,Cv,CAv,CAv;22,PACAv;22,22,"Great Valley and Northern Piedmont, Lebanon Valley Sequence",Vintage Formation,Cambrian,"Vintage Formation - Dark-gray, knotty, argillaceous dolomite; impure light-gray marble at base locally.",,,PA002,dolostone (dolomite),marble,,PA001 PA002,
PA  ,Cw,CAw,CAw;15,PACAw;15,15,Central Pennsylvania,Warrior Formation,Cambrian,"Warrior Formation - Gray, thin- to medium-bedded, fossiliferous, cyclic limestone bearing stromatolites; interbedded with thick-bedded crystalline dolomite and some sandstone.",,,PA002,limestone,dolostone (dolomite),sandstone,PA001 PA002,
PA  ,Cwb,CAwb,CAwb;15,PACAwb;15,15,Central Pennsylvania,Waynesboro Formation,Cambrian,Waynesboro Formation - Greenish-gray and grayish-purple shale interbedded with greenish-gray sandstone and conglomerate; occurs in Henrietta fault block only.,,,PA002,shale,sandstone,conglomerate,PA001 PA002,
PA  ,Cwb,CAwb,CAwb;24,PACAwb;24,24,"Great Valley and South Mountain, Cumberland Valley Sequence",Waynesboro Formation,Cambrian,Waynesboro Formation - Interbedded red to purple shale and sandstone and some beds of dolomite and impure limestone.,,,PA002,shale,sandstone,dolostone (dolomite); limestone,PA001 PA002,
PA  ,Cwl,CAwl,CAwl;24,PACAwl;24,24,"Great Valley and South Mountain, Cumberland Valley Sequence","Weverton and Loudoun Formations, undivided",Cambrian,"Weverton and Loudoun Formations, undivided - In descending order: Weverton--gray to purplish-gray quartzite and quartzose conglomerate containing rounded pebbles. Loudoun--sericitic slate and purplish-gray, crumbly, poorly sorted, arkosic sandstone and conglomerate.",,,PA002,quartzite,slate,conglomerate; arkose,PA001 PA002,
PA  ,Cz,CAz,CAz;24,PACAz;24,24,"Great Valley and South Mountain, Cumberland Valley Sequence",Zullinger Formation,Cambrian,"Zullinger Formation - Interbanded and interlaminated limestone and dolomite, thin- to thick-bedded; stromatolitic limestone; several thin, local quartz sandstone beds.",,,PA002,limestone,dolostone (dolomite),sandstone,PA001 PA002,
PA  ,Czc,CAzc,CAzc;22,PACAzc;22,22,"Great Valley and Northern Piedmont, Lebanon Valley Sequence",Zooks Corner Formation,Cambrian,"Zooks Corner Formation - Medium-gray, finely crystalline dolomite; silty to sandy, containing numerous siliceous to argillaceous laminae.",,,PA002,dolostone (dolomite),,,PA001 PA002,
PA  ,Dbe,Dbe,Dbe;14,PADbe;14,14,Eastern Pennsylvania,"Buttermilk Falls Limestone through Esopus Formation, undivided",Devonian,"Buttermilk Falls Limestone through Esopus Formation, undivided - In descending order: Buttermilk Falls Limestone--gray fossiliferous limestone and black chert; Palmerton Sandstone--massive white siliceous sandstone; Schoharie Formation--gray calcareous, argillaceous siltstone; Esopus Formation--gray silty shale and sandy siltstone.",,,PA002,limestone,siltstone,sandstone; shale; chert,PA001 PA002,
PA  ,Dbh,Dbh,Dbh;12,PADbh;12,12,South-Central Pennsylvania,"Brallier and Harrell Formations, undivided",Devonian,"Brallier and Harrell Formations, undivided - In descending order: Brallier--medium-gray, planar-bedded siltstone interbedded with light-olive shale; sparse marine fauna; Harrell--black shale (Burket Member) and dark-gray shale.",,,PA002,siltstone,shale,black shale,PA001 PA002,
PA  ,Dbv,Dbv,Dbv;8,PADbv;8,8,Western Pennsylvania,"Berea Sandstone through Venango Formation, undivided",Devonian,"Berea Sandstone through Venango Formation, undivided - Greenish-yellow and gray sandstone, siltstone, and shale succession, becoming more shaly and more gray downward; bottom of interval is bottom of Panama Conglomerate; Venango not mapped separately because upper key bed (Woodcock Sandstone) is missing. Includes, in descending order: Berea Sandstone, Bedford Shale, Cussewago Sandstone, Riceville Shale, and Venango Formation equivalent; contains marine fossils.",,Digital map differences from 1980 printed map: age changed from Mississippian and Devonian to Devonian; map symbol changed from MDbv to Dbv.,PA002,shale,siltstone,sandstone; conglomerate,PA001 PA002,
PA  ,Dcb,Dcb,Dcb;17,PADcb;17,17,"Central and Eastern Pennsylvania, Susquehanna Valley",Buddys Run Member of Catskill Formation,Devonian,"Buddys Run Member of Catskill Formation - Grayish-red and brownish-gray siltstone, mudstone, and sandstone; some gray and dusky-yellow sandstone and siltstone; laterally equivalent to Duncannon, Clarks Ferry, and Sherman Creek Members.",,,PA002,siltstone,sandstone,mudstone,PA001 PA002,
PA  ,Dcbr,Dcbr,Dcbr;18,PADcbr;18,18,"Central and Eastern Pennsylvania, Eastern Pennsylvania",Beaverdam Run Member of Catskill Formation,Devonian,Beaverdam Run Member of Catskill Formation - Alternating olive-gray siltstone and sandstone; marine fossils.,,,PA002,siltstone,sandstone,,PA001 PA002,
PA  ,Dcbs,Dcbs,Dcbs;18,PADcbs;18,18,"Central and Eastern Pennsylvania, Eastern Pennsylvania","Berry Run and Sawmill Run Members of Catskill Formation, undivided",Devonian,"Berry Run and Sawmill Run Members of Catskill Formation, undivided - Greenish-gray to gray sandstone and minor red siltstone and mudstone.",,,PA002,sandstone,siltstone,mudstone,PA001 PA002,
PA  ,Dccf,Dccf,Dccf;17,PADccf;17,17,"Central and Eastern Pennsylvania, Susquehanna Valley",Clarks Ferry Member of Catskill Formation,Devonian,"Clarks Ferry Member of Catskill Formation - Gray to yellowish-gray sandstone, siltstone, and conglomerate.",,,PA002,sandstone,siltstone,conglomerate,PA001 PA002,
PA  ,Dccf,Dccf,Dccf;18,PADccf;18,18,"Central and Eastern Pennsylvania, Eastern Pennsylvania",Clarks Ferry Member of Catskill Formation,Devonian,Clarks Ferry Member of Catskill Formation - Gray to yellowish-gray sandstone and conglomerate.,,,PA002,sandstone,conglomerate,,PA001 PA002,
PA  ,Dcd,Dcd,Dcd;17,PADcd;17,17,"Central and Eastern Pennsylvania, Susquehanna Valley",Duncannon Member of Catskill Formation,Devonian,"Duncannon Member of Catskill Formation - Grayish-red sandstone, siltstone, and mudstone in fining-upward cycles; conglomerate occurs at base of some cycles.",,,PA002,sandstone,siltstone,mudstone; conglomerate,PA001 PA002,
PA  ,Dcd,Dcd,Dcd;18,PADcd;18,18,"Central and Eastern Pennsylvania, Eastern Pennsylvania",Duncannon Member of Catskill Formation,Devonian,"Duncannon Member of Catskill Formation - Grayish-red sandstone, siltstone, and mudstone in fining-upward cycles; conglomerate occurs at base of some cycles.",,,PA002,sandstone,siltstone,mudstone; conglomerate,PA001 PA002,
PA  ,Dch,Dch,Dch;8,PADch;8,8,Western Pennsylvania,Chadakoin Formation,Devonian,"Chadakoin Formation - Light-gray or brownish siltstone and some sandstone, interbedded with medium-gray shale; included in Conneaut Group and ""Chemung"" of earlier workers; marine fossils common; includes ""pink rock"" of drillers.",,,PA002,siltstone,shale,sandstone,PA001 PA002,
PA  ,Dciv,Dciv,Dciv;17,PADciv;17,17,"Central and Eastern Pennsylvania, Susquehanna Valley",Irish Valley Member of Catskill Formation,Devonian,"Irish Valley Member of Catskill Formation - Nonmarine, grayish-red siltstone and mudstone, and gray and grayish-red sandstone interbedded with minor, thin, light-olive-gray marine siltstone; arranged in fining-upward cycles. Lower part of member has conglomeratic sandstones.",,,PA002,siltstone,mudstone,sandstone; conglomerate,PA001 PA002,
PA  ,Dck,Dck,Dck;12,PADck;12,12,South-Central Pennsylvania,Catskill Formation,Devonian,"Catskill Formation - Grayish-red sandstone, siltstone, shale, and mudstone; locally conglomeratic; contains gray sandstone in upper part; lithologies arranged in fining-upward cycles; equivalent to the Hampshire Formation south of Pennsylvania.",,,PA002,sandstone,siltstone,shale; mudstone; conglomerate,PA001 PA002,
PA  ,Dck,Dck,Dck;15,PADck;15,15,Central Pennsylvania,Catskill Formation,Devonian,"Catskill Formation - Grayish-red sandstone, siltstone, shale, and mudstone; units of gray sandstone occur in upper part; lithologies in upper part arranged in fining-upward cycles. In the Altoona area, the Catskill Formation is mapped as the Duncannon, Sherman Creek, and Irish Valley Members, which are described under ""Central and Eastern Pennsylvania"" provinces.",,,PA002,sandstone,siltstone,shale; mudstone,PA001 PA002,
PA  ,Dck,Dck,Dck;16,PADck;16,16,Central and Eastern Pennsylvania,Catskill Formation,Devonian,"Catskill Formation - Succession of grayish-red sandstone, siltstone, shale, and mudstone, generally in fining-upward cycles; some gray sandstone and conglomerate.",,,PA002,sandstone,siltstone,shale; mudstone; conglomerate,PA001 PA002,
PA  ,Dclr,Dclr,Dclr;18,PADclr;18,18,"Central and Eastern Pennsylvania, Eastern Pennsylvania",Long Run Member of Catskill Formation,Devonian,Long Run Member of Catskill Formation - Gray and grayish-red sandstone and grayish-red siltstone and mudstone in fining-upward cycles.,,,PA002,sandstone,siltstone,mudstone,PA001 PA002,
